Radius (um),Gap (nm),Width (nm),Nd (cm^-3),r_L,Lc (um),ER (dB),Q Factor,FSR (nm),f_RC (GHz),f_EO (GHz),VpiL (V.cm),Efficiency (1/V.cm),Is_Valid,Max_Variation,Worst_Case,Is_Robust
11.02239746714866,230.64474192517343,404.7291008160542,1.4652600644414203e+18,0.5,9.662466121428414,4.167392941479488,8051.263341942203,6.781342120438049,43.2733354080151,21.01469717003997,0.5682113973688661,1.7599083802798654,True,0.043356722188985466,gap-5nm→ER,True
9.212814865693886,208.0264295716697,423.9209573648506,1.4057189426430925e+18,0.5,7.139448294922454,4.123701913041607,8279.485924936607,8.327953139110706,40.46614261397354,20.24210859892996,0.5873850833884309,1.7024606655506636,True,0.04807081494688048,gap-5nm→ER,True
9.0,183.81587037897447,400.0,2.9512092266663777e+18,0.5,10.0,10.80880318700912,7951.452276144075,7.846315521086466,62.1394571807171,22.66459112591418,0.3245201822301223,3.0814724468843187,True,0.05440226667796913,gap-5nm→ER,True
11.04026412051495,230.35956397500468,405.5505539224268,1.4215873507172255e+18,0.5,9.58000544322057,4.276301673340349,8435.792855530413,6.785515441393406,42.53723169593692,20.193661279003805,0.5821338732873496,1.717817921078758,True,0.04341039645779609,gap-5nm→ER,True
9.0,224.24066159956715,400.0,2.9307100030056494e+18,0.5,10.0,5.143317132358117,5019.711304916968,7.846315521086466,61.92326947014387,32.731288715874506,0.3263348337366856,3.0643372898612595,True,0.04459494513023359,gap-5nm→ER,True
9.19786445803102,207.89838766085452,423.6720435779037,1.392517829945478e+18,0.5,7.070640848804111,4.075315621470219,8271.423341736585,8.354708591235298,40.29934813240761,20.235876686934105,0.5918356194178528,1.6896583564599068,True,0.04810042113608422,gap-5nm→ER,True
9.208664230825558,208.1623391993522,424.2376248455737,1.3970861658352435e+18,0.5,7.159527794060361,4.0240284494880045,8165.936747713859,8.326394576980224,40.31158365816728,20.43200949536789,0.590286916575906,1.6940914187980451,True,0.04803942941101955,gap-5nm→ER,True
9.229841599806557,207.9249707330633,423.8698765761944,1.394687219995349e+18,0.4999963057341303,7.068186173249395,4.101928324774895,8302.405798847609,8.332046145216601,40.311903317982924,20.180898272941217,0.591099040136268,1.6917638705173108,True,0.04809427152854151,gap-5nm→ER,True
9.37126667468731,224.13570358957116,402.87123575459,1.4564259267445645e+18,0.5,7.819804533131388,4.29226004389481,8284.070626354487,8.060385696240315,43.34164459194042,20.56621681801033,0.5709669760815631,1.7514147785968432,True,0.0446158279999497,gap-5nm→ER,True
9.227017801490524,207.8465967838696,423.75748806977145,1.3902852417208095e+18,0.5,7.0357358847627145,4.061894419528414,8261.600852141208,8.341580204124755,40.258910459401086,20.248722044462,0.5925958163308285,1.6874908199516043,True,0.04811240672080164,gap-5nm→ER,True
9.816867682117849,174.86199137257486,419.7484548457352,1.61186746715477e+18,0.4493714815235036,7.562333960187436,4.303179634540354,8335.789042688108,7.8239034029752625,43.76258882940521,20.51097099034148,0.5264755988786242,1.8994232631673096,True,0.05718795675095113,gap-5nm→ER,True
10.270728527095628,175.25616813486562,438.450598757406,1.4423188159940588e+18,0.5,7.6931299813833744,4.200932877150971,8209.100802151683,7.522638957655132,39.63121742775333,20.26278298449605,0.5754302593751446,1.737830056218963,True,0.05705933266956211,gap-5nm→ER,True
9.071812169943852,209.52811239989725,426.4037540129602,1.4191706180705037e+18,0.5,7.558290123171349,4.133385921574503,8225.210575149595,8.33404404810622,40.4225523851371,20.336464966090983,0.5829267998061312,1.7154812582515993,True,0.04772629259845747,gap-5nm→ER,True
9.23379074825115,207.991027928769,423.7828608933107,1.3885299874782177e+18,0.5,7.05259698659032,4.074260942956426,8290.480476618739,8.332763345516945,40.231079850352685,20.19244397181024,0.5931950255142986,1.6857862203631977,True,0.048078996962430176,gap-5nm→ER,True
9.383110691206458,223.6165562811581,402.7428092986941,1.4151906700606769e+18,0.5,7.838105205631254,4.130403985545128,8245.476409135717,8.048369560748283,42.73730475369965,20.57434385480283,0.584237925821138,1.7116314361045877,True,0.044719407928931566,gap-5nm→ER,True
9.00924770712287,189.8323760601524,400.5386318356711,1.4326515154149338e+18,0.5,9.815514026278471,4.3071468170027565,8427.674732147532,7.878415708629786,43.236777532906416,20.2823250231319,0.5785344971263041,1.728505395904996,True,0.052678053172717496,gap-5nm→ER,True
9.989627259526555,173.73959678094758,418.0531447791584,1.6587342150070564e+18,0.4891548708174055,7.906471876792915,4.435109157131291,7716.431783342168,7.646972318071715,44.57428168656891,21.859532429650987,0.5145413347477629,1.943478458324864,True,0.05755740306343699,gap-5nm→ER,True
9.0,224.2939514897341,402.9283851573651,1.4165396691937009e+18,0.5,7.718540883298979,4.203734057718672,8352.68166625036,8.344276174998964,42.73797628847035,20.370642924656195,0.5837927782226767,1.712936571508202,True,0.04458434983904467,gap-5nm→ER,True
9.0,224.0353339505729,402.9549302966156,1.3986440799710884e+18,0.5,7.678621635002019,4.182219001854026,8412.57828839548,8.353546527128216,42.46435954027414,20.2289248755138,0.5897608534700142,1.6956025380732465,True,0.044635816251226826,gap-5nm→ER,True
10.274759775980156,176.2070421482159,438.6702627751641,1.426938231401616e+18,0.5,7.7377930056474975,4.132830054499697,8181.727068921588,7.5119034391257,39.399602354188666,20.281399994574947,0.5803868607517318,1.7229886953415423,True,0.05675142081772504,gap-5nm→ER,True
9.0,152.61702672837447,465.37134178520455,2.6022648403791483e+18,0.5,10.0,7.085609185016716,6992.12144821706,7.859159616322042,50.15376701458781,24.23493496197523,0.3588893046652495,2.786374480935675,True,0.06552348852790742,gap-5nm→ER,True
