Radius (um),Gap (nm),Width (nm),Nd (cm^-3),r_L,Lc (um),ER (dB),Q Factor,FSR (nm),f_RC (GHz),f_EO (GHz),VpiL (V.cm),Efficiency (1/V.cm),Is_Valid
8.68650011163112,265.02993701139917,436.5059205323498,7.120028859758724e+17,0.22683793619220322,5.455215967248369,7.506217026497301,38915.78860181912,9.17972034770402,27.969080238071392,4.896741875912305,1.0121766352958002,0.9879698514358202,False
10.210711254589555,172.2409489823038,400.0001386751054,3.442857690607373e+17,0.07005995148602412,8.404083595586995,0.29021242579237794,4649.5482862840945,7.418424395435956,21.223980620328636,18.908204242216595,1.8101161943882633,0.5524507228321629,False
11.501112787859235,236.35491118002534,462.0458566193836,7.641658432013823e+17,0.04994917272772348,2.7411378645729734,15.892049338028517,106802.40716086776,7.737489892350235,27.373868536675808,1.8082667661335394,0.9565146231268131,1.0454623231279359,False
8.873042595831638,214.08545139132863,475.2827533299868,2.2802401652820314e+17,0.21172337723057183,9.406612087992606,3.5011621824246895,39312.766256413466,8.070328510520914,14.536695282231014,4.663149273766151,2.5168494497314287,0.3973221362551937,False
13.705644795301,266.93530804375257,402.1688975844946,3.969348833149224e+17,0.45057290608274925,0.12274562664973954,8.924065619550753,85726.94079253891,6.95522713135432,22.66619388590297,2.2466320823362413,1.6153487408136862,0.6190613672043835,False
12.372945678317521,140.82575462833444,449.32195264718985,1.012247882634383e+17,0.4366107583082944,5.443926495208512,1.4339242656622717,18553.733775527264,6.785183720564314,10.24503030593188,7.309490316968595,4.819613470931268,0.20748551850295485,False
10.480650762239218,168.07584003847705,448.8423429598516,2.909983111322515e+18,0.16360622349670156,3.0799262533899707,10.59252291843026,21505.52806334507,8.350852703547687,54.9893846746316,8.8818375863296,0.3281930170863013,3.046987437082006,False
11.735024616406507,165.47670359042516,448.2549405630185,1.5335115755291758e+18,0.22758165709580652,7.20292081258312,2.8759991775632883,11034.440050218593,6.82273741833804,39.971080731770606,16.062032669859413,0.5478883479896256,1.8251893906291565,False
13.782175520154427,162.5822161576488,425.0427216951419,4.0618219750053805e+17,0.3604087354000414,7.82168368775729,1.9162500190828013,14131.70599478733,5.878376423941255,21.694782728578993,11.58134636593343,1.585860577723639,0.6305724563980338,False
9.107877892524552,224.00629672709204,441.7727576648569,1.4197562538006323e+18,0.1806363648551919,7.210615765791526,6.745565907561178,26642.72007311817,8.39179436054367,39.02432595537283,7.1419525252128615,0.5827344305342173,1.7160475640391761,False
10.951458609270059,234.75984145612034,470.28463483723203,9.118795112056269e+17,0.06654265801400544,1.5172376513308705,11.20609832511764,139475.5274206784,8.374782553842158,29.378890171027486,1.386153178558896,0.830408421670314,1.2042267080921014,False
10.702171056719312,252.90654987698093,404.077710887315,2.4732847120732114e+18,0.24772080454027018,0.1588026999792902,4.142125860440638,40030.93856761243,8.890977153673683,56.31182567909512,4.817285963693427,0.37378547475333024,2.675331353257971,False
13.568632548169596,246.92282658759314,458.95379922352,2.043214703652752e+17,0.0748734501008444,0.3660341719632476,9.073417680809513,206105.7662750888,6.995434478482531,14.25002019460445,0.9370484285167704,2.7478340889002855,0.3639229908528471,False
11.224898262373145,178.06515565484298,406.0950564617381,9.839454570307665e+17,0.40777902264160165,9.492201468925504,2.7842712570700745,9625.959089365711,6.710977897323545,35.34152261410306,17.476569945320243,0.7813846785053309,1.2797793807690812,False
13.715115465658712,255.62457994713907,447.2141122163619,1.2427817062680543e+18,0.36361916293973984,0.6222222776772857,2.447581521820103,55897.745033446336,6.8787608907583335,36.066946262441974,3.446725178606997,0.6482250796004064,1.5426740363338651,False
12.296675017320997,211.1947447442562,457.5898568363927,4.653538495179921e+17,0.493827947652371,1.8332101413142332,10.696513662702095,68859.51529146943,7.432356314426808,21.56963086498666,2.787229393962129,1.422378118155138,0.703047935873076,False
12.98616602179582,296.00587123968944,448.47627194567866,3.7278527465055565e+17,0.4832925809852728,1.6093129935118666,3.586294195980825,104292.86167750327,7.090339685677073,19.697783089402204,1.8476494849503495,1.698535827606469,0.5887423648926929,False
